Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2012,136,1211,77,7,1452,54,10,0,28,50,9,17,12,16,6,25,15,10,9,2,25,16,49,3,17,19,28,12,19,10,10,2,3,17,0
2005,136,1452,63,7,1166,61,10,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16,1
2008,138,1452,73,7,1181,67,2,0,25,62,4,11,19,22,19,28,12,17,1,5,25,19,50,5,22,24,32,7,20,6,13,6,3,23,1
2015,139,1452,69,5,1268,59,4,0,24,60,7,19,14,19,14,18,11,10,15,1,20,21,44,8,19,9,13,8,24,7,23,4,7,19,1
2017,138,1452,83,4,1323,71,5,0,27,54,8,14,21,26,10,24,16,12,6,5,18,22,54,10,28,17,17,8,20,12,14,6,3,21,1
2010,145,1452,73,2,1246,66,1,0,20,52,10,23,23,34,10,26,14,12,5,6,22,23,67,4,32,16,29,24,27,10,16,6,4,27,1
2008,143,1462,79,3,1452,75,7,1,28,59,11,19,12,21,15,26,16,12,3,5,25,28,66,1,11,18,27,17,21,16,8,5,6,21,0
2015,137,1452,68,5,1138,62,12,0,22,49,5,16,19,27,9,22,11,12,7,1,25,20,44,6,16,16,25,8,22,12,17,4,3,24,1
2016,137,1372,70,14,1452,56,3,0,17,55,7,23,29,39,11,22,12,7,16,3,25,16,52,3,16,21,27,17,31,8,22,5,7,27,0
2023,136,1268,67,8,1452,65,9,0,23,45,6,18,15,22,8,17,12,13,7,5,19,22,56,8,19,13,16,9,17,7,10,6,2,24,0
2008,136,1452,75,7,1112,65,10,0,28,55,11,19,8,9,6,21,16,9,6,3,17,21,46,6,15,17,21,6,21,12,12,3,3,14,1
2005,143,1452,65,7,1403,60,6,0,24,51,9,22,8,13,11,20,14,18,5,3,15,24,56,1,8,11,16,15,19,10,16,11,1,15,1
2018,137,1452,85,5,1293,68,12,0,32,62,4,11,17,24,14,19,18,8,9,4,23,21,51,7,23,19,23,14,22,12,16,5,6,23,1
2021,139,1393,75,11,1452,72,3,0,27,52,14,31,7,11,4,23,18,15,6,6,14,26,70,11,26,9,11,17,20,18,14,8,1,15,0
2006,139,1452,67,6,1322,54,14,0,18,46,7,22,24,33,8,20,11,14,13,2,15,21,55,6,20,6,11,17,24,13,24,7,3,24,1
2006,143,1400,74,2,1452,71,6,0,28,58,4,19,14,20,17,28,19,13,8,1,12,25,55,15,33,6,8,3,13,19,8,3,1,14,0
2005,138,1452,111,7,1448,105,2,2,37,70,7,21,30,39,10,25,20,11,5,5,26,36,71,9,23,24,36,17,29,23,18,7,3,28,1
2010,139,1452,68,2,1281,59,10,0,19,47,5,15,25,33,13,28,12,10,4,5,16,20,61,7,21,12,20,17,21,13,7,6,8,23,1
2010,152,1181,78,1,1452,57,2,0,29,55,13,25,7,9,11,18,20,6,5,1,16,19,46,5,12,14,19,11,16,11,10,1,4,12,0
2017,143,1211,61,1,1452,58,4,0,18,44,4,10,21,32,7,27,7,16,5,3,26,16,60,5,23,21,29,20,21,7,13,5,7,25,0
2018,139,1452,94,5,1267,71,13,0,33,66,12,25,16,18,15,25,19,16,9,4,22,22,56,12,26,15,21,10,14,18,18,8,3,16,1
2017,136,1452,86,4,1137,80,13,0,30,66,5,11,21,29,17,25,15,13,7,5,19,27,59,9,20,17,23,9,23,13,15,8,4,25,1
2010,143,1452,69,2,1449,56,11,0,26,65,4,15,13,17,23,26,14,23,11,4,15,22,56,3,11,9,14,11,18,11,21,14,8,20,1
2010,137,1452,77,2,1288,50,15,0,24,58,4,15,25,31,14,35,20,9,7,4,16,18,61,3,19,11,20,13,25,3,12,6,7,22,1
2006,137,1452,64,6,1356,46,11,0,22,50,11,32,9,11,9,22,15,11,8,3,10,20,47,4,13,2,4,6,20,12,15,7,2,14,1
2015,143,1246,78,1,1452,39,5,0,24,50,4,15,26,32,11,33,13,10,7,7,21,13,54,2,15,11,19,13,19,7,13,4,3,29,0
2011,136,1452,84,5,1155,76,12,0,27,55,5,13,25,31,14,23,15,11,6,1,21,25,58,5,21,21,26,13,18,15,9,5,3,24,1
2021,137,1452,84,3,1287,67,14,0,32,63,9,18,11,15,9,15,16,6,10,4,16,26,50,10,19,5,9,7,19,15,18,4,5,14,1
2005,145,1257,93,4,1452,85,7,1,32,58,11,28,18,29,15,19,19,11,8,4,18,26,47,18,27,15,19,4,15,23,14,5,2,19,0
2009,137,1173,68,11,1452,60,6,0,25,54,4,10,14,23,13,19,14,9,5,2,22,18,49,5,20,19,25,15,22,10,11,2,4,21,0
2011,138,1246,71,4,1452,63,5,0,24,50,6,18,17,24,9,25,12,10,1,6,19,22,53,7,19,12,16,9,21,9,11,5,2,23,0
2018,144,1437,90,1,1452,78,5,0,27,54,13,24,23,27,7,29,16,16,5,5,20,27,70,7,28,17,23,16,23,12,12,10,5,28,0
