Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2021,138,1268,63,10,1163,54,7,0,22,43,9,18,10,14,3,24,13,10,4,4,14,21,65,7,23,5,12,21,18,10,10,6,5,17,1
2007,136,1268,82,4,1172,70,13,0,31,68,6,17,14,19,19,35,19,22,8,4,15,24,70,10,37,12,14,13,22,17,17,13,2,17,1
2016,139,1268,73,5,1218,60,13,0,22,48,1,18,28,31,3,33,8,11,5,7,18,23,70,4,19,10,15,16,26,13,9,2,1,22,1
2017,136,1462,76,11,1268,65,6,0,25,50,9,23,17,24,9,25,15,15,8,2,17,22,54,7,27,14,19,7,17,13,11,7,3,19,0
2007,138,1139,62,5,1268,59,4,0,23,52,12,26,4,6,8,15,14,12,10,0,15,23,49,6,11,7,15,14,23,13,17,4,8,13,0
2009,136,1268,84,10,1143,71,7,0,31,63,6,16,16,24,16,20,18,9,5,1,17,25,59,7,24,14,19,14,21,12,14,2,2,22,1
2019,138,1261,69,3,1268,67,6,0,24,65,7,24,14,16,10,24,12,10,6,4,16,21,63,9,28,16,23,14,28,12,12,6,7,13,0
2004,138,1393,72,5,1268,70,4,0,22,55,4,12,24,38,12,26,11,12,7,5,25,20,52,3,12,27,38,12,28,13,17,5,6,26,0
2023,138,1104,73,1,1268,51,8,0,23,58,6,21,21,28,13,26,7,10,9,4,18,19,54,1,8,12,21,9,19,6,12,7,5,18,0
2021,140,1104,96,2,1268,77,10,0,35,66,16,33,10,10,15,24,19,9,5,4,9,32,60,10,27,3,7,4,15,17,8,6,1,10,0
2003,137,1268,75,6,1423,73,11,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19,1
2009,138,1272,89,2,1268,70,10,0,31,53,10,19,17,22,8,27,21,13,6,3,17,27,62,5,14,11,19,11,16,9,7,8,3,17,0
2010,139,1277,85,5,1268,83,4,0,32,58,10,18,11,14,13,29,18,19,3,5,19,29,66,9,19,16,20,10,14,20,6,8,0,14,0
2010,137,1268,89,4,1222,77,13,0,32,68,4,17,21,25,17,33,18,10,2,4,20,25,60,7,20,20,32,9,20,7,6,6,1,19,1
2015,139,1452,69,5,1268,59,4,0,24,60,7,19,14,19,14,18,11,10,15,1,20,21,44,8,19,9,13,8,24,7,23,4,7,19,0
2003,139,1268,77,6,1462,64,3,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16,1
2016,143,1242,79,1,1268,63,5,0,29,62,3,9,18,21,13,30,14,11,5,1,20,22,55,5,25,14,20,6,22,9,9,7,7,23,0
2003,144,1277,60,7,1268,58,6,0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15,0
2023,136,1268,67,8,1452,65,9,0,23,45,6,18,15,22,8,17,12,13,7,5,19,22,56,8,19,13,16,9,17,7,10,6,2,24,1
2016,137,1268,79,5,1355,74,12,0,23,45,9,23,24,27,6,23,10,13,5,3,17,24,59,10,29,16,17,11,17,8,11,5,2,19,1
2015,137,1268,65,4,1434,62,13,0,19,40,9,21,18,24,4,30,9,11,5,5,19,20,56,12,27,10,18,11,20,12,9,5,1,19,1
2019,136,1268,79,6,1125,77,11,0,30,69,6,22,13,20,15,26,12,5,3,4,18,27,65,9,28,14,20,10,27,14,5,2,4,16,1
2004,136,1268,86,4,1431,83,13,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25,1
