Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2019,137,1403,72,3,1297,57,14,0,28,53,6,17,10,17,2,29,18,11,7,8,9,23,62,5,22,6,8,12,27,11,17,6,3,17,1
2019,154,1438,85,1,1403,77,3,1,27,59,11,24,20,23,11,28,15,11,4,3,15,27,63,10,30,13,15,9,23,9,8,6,3,18,0
2018,138,1403,69,3,1196,66,6,0,28,63,6,15,7,14,13,26,17,8,4,5,14,25,63,6,22,10,15,13,26,11,11,5,9,18,1
2019,143,1403,63,3,1276,44,2,0,24,55,6,19,9,10,6,25,12,8,8,4,17,16,49,1,19,11,17,9,26,9,14,5,2,13,1
2024,136,1301,80,11,1403,67,6,0,27,53,5,13,21,26,7,23,15,10,8,5,14,24,62,7,31,12,14,9,21,15,9,3,2,20,0
2019,145,1403,75,3,1211,69,1,0,25,57,9,23,16,19,7,22,11,13,9,7,14,25,59,7,26,12,16,12,25,15,16,8,4,16,1
2005,136,1403,78,6,1417,66,11,0,32,52,3,7,11,16,4,28,21,14,7,2,14,26,60,6,20,8,15,9,18,16,13,5,2,15,1
2021,139,1116,68,3,1403,66,6,0,26,62,4,17,12,17,9,26,10,9,0,1,16,22,61,10,20,12,18,11,22,12,9,3,3,19,0
2018,136,1403,70,3,1372,60,14,0,25,54,4,16,16,24,9,32,14,13,5,6,21,18,47,5,14,19,28,5,26,9,13,10,3,23,1
2022,139,1403,59,3,1323,53,11,0,21,59,4,15,13,17,10,27,10,8,8,4,16,17,52,9,28,10,15,7,27,8,11,3,2,13,1
2019,139,1403,78,3,1138,58,6,0,27,56,5,16,19,25,15,30,11,14,8,3,18,19,52,9,27,11,22,13,19,11,16,7,1,22,1
2016,136,1139,71,9,1403,61,8,0,25,51,9,17,12,16,8,26,14,14,10,2,14,25,54,7,18,4,9,6,22,14,14,8,4,16,0
2018,146,1437,71,1,1403,59,3,0,19,57,4,24,29,35,20,31,7,12,6,4,17,20,60,5,20,14,18,11,22,7,9,4,1,23,0
2021,137,1403,65,6,1429,53,11,0,26,62,7,18,6,8,6,20,15,7,8,3,14,22,50,4,19,5,10,8,26,13,22,3,9,13,1
2005,138,1403,71,6,1211,69,3,0,29,59,4,11,9,16,8,24,18,7,7,1,14,29,62,2,13,9,18,17,27,14,13,2,1,17,1
2004,138,1386,70,1,1403,65,8,0,27,57,12,31,4,5,11,20,13,13,4,0,16,25,53,3,12,12,14,9,20,16,9,7,2,11,0
2004,136,1403,76,8,1150,73,9,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20,1
2018,144,1403,78,3,1345,65,2,0,28,59,5,17,17,18,11,23,15,11,5,5,12,26,58,7,18,6,6,9,21,8,17,5,2,19,1
2022,143,1181,78,2,1403,73,3,0,28,54,7,19,15,17,4,24,12,9,4,6,12,31,66,6,19,5,9,9,20,12,8,4,3,14,0
2019,152,1403,61,3,1277,51,2,0,22,51,9,23,8,13,3,27,8,7,4,4,18,15,47,7,24,14,18,8,28,6,11,1,2,15,1
2022,137,1403,97,3,1286,62,14,0,36,54,12,20,13,19,6,24,23,12,6,5,18,21,55,8,24,12,15,7,13,14,15,5,1,22,1
2005,143,1452,65,7,1403,60,6,0,24,51,9,22,8,13,11,20,14,18,5,3,15,24,56,1,8,11,16,15,19,10,16,11,1,15,0
2007,136,1130,84,7,1403,75,10,0,30,57,8,20,16,20,11,24,16,8,3,9,10,30,65,7,17,8,9,11,16,11,6,4,0,15,0
