Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2007,139,1424,74,7,1458,68,2,0,24,52,10,20,16,20,6,27,12,9,3,2,22,21,51,5,21,21,27,7,24,14,8,6,1,21,0
2005,144,1458,65,6,1301,56,10,0,21,42,4,10,19,25,4,31,7,18,2,0,14,19,50,9,22,9,13,2,19,12,13,10,5,25,1
2003,138,1458,61,5,1409,60,13,0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16,1
2010,137,1458,53,4,1459,49,13,0,20,54,1,9,12,19,10,20,3,4,7,0,14,20,48,3,7,6,13,11,26,7,11,1,2,15,1
2008,136,1458,71,3,1168,56,14,0,25,59,3,16,18,25,18,32,13,17,8,7,11,21,58,7,21,7,13,7,20,7,14,9,0,25,1
2010,139,1165,87,12,1458,69,4,0,33,54,8,15,13,16,9,20,14,8,8,1,14,24,49,8,25,13,17,8,13,13,10,6,1,16,0
2004,139,1338,59,3,1458,55,6,0,21,59,2,10,15,19,15,25,10,9,7,3,17,17,48,8,18,13,17,7,24,9,13,4,3,20,0
2003,143,1246,63,1,1458,57,5,0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20,0
2024,137,1241,72,12,1458,61,5,0,23,56,5,17,21,30,8,27,12,11,14,4,20,19,51,8,21,15,23,7,26,13,19,6,3,19,0
2017,138,1458,65,8,1437,62,1,0,26,49,6,18,7,16,12,22,10,14,4,5,19,21,51,5,16,15,21,11,19,5,8,8,1,16,1
2015,154,1181,68,1,1458,63,1,0,24,51,4,11,16,20,6,27,7,5,4,6,13,25,61,7,21,6,10,11,24,13,5,3,1,15,0
2015,139,1458,72,1,1332,65,8,0,22,51,7,23,21,29,10,22,11,6,3,3,13,26,59,8,19,5,7,10,24,13,8,3,4,20,1
2015,143,1458,79,1,1314,72,4,0,26,56,7,21,20,23,12,23,13,5,3,0,18,26,56,8,13,12,18,9,19,12,4,3,1,20,1
2005,146,1314,88,1,1458,82,6,0,34,64,5,16,15,18,12,21,19,9,5,5,15,30,61,11,24,11,13,10,19,17,12,5,0,17,0
2011,138,1458,70,4,1243,65,5,0,21,50,9,20,19,23,10,20,12,5,4,2,18,22,48,6,12,15,22,10,22,7,8,3,0,22,1
2011,143,1139,61,8,1458,54,4,0,19,45,5,18,18,26,10,27,7,14,8,2,19,17,56,7,29,13,19,12,19,9,11,7,3,20,0
2022,137,1458,67,3,1159,60,14,0,26,62,6,17,9,12,11,24,15,5,5,3,10,22,57,10,22,6,7,9,24,14,10,2,1,13,1
2015,137,1458,86,1,1157,72,16,0,33,61,11,27,9,12,12,24,14,9,5,1,11,28,58,7,12,9,11,7,18,9,6,8,1,14,1
2017,136,1458,84,8,1439,74,9,0,26,60,13,31,19,25,17,20,19,8,4,3,22,23,49,7,17,21,26,6,19,14,10,3,2,18,1
2014,138,1458,85,2,1332,77,7,0,29,60,11,28,16,25,14,22,15,8,1,1,17,24,49,8,18,21,23,3,23,9,8,5,1,23,1
