Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2010,138,1246,90,1,1448,60,9,0,38,63,7,21,7,17,14,28,21,11,6,6,21,21,64,2,15,16,26,19,15,12,11,6,3,17,0
2004,143,1386,84,1,1448,80,4,0,29,58,12,24,14,23,10,20,15,11,8,4,21,27,51,8,16,18,25,7,21,15,15,6,0,22,0
2003,137,1448,76,2,1190,73,15,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20,1
2003,139,1120,68,10,1448,62,2,0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23,0
2005,136,1448,70,2,1151,54,15,0,24,58,8,28,14,21,15,22,16,15,10,2,12,21,52,6,20,6,9,11,24,12,22,5,1,19,1
2017,134,1243,95,11,1448,88,11,0,31,47,6,16,27,36,7,22,18,15,6,3,26,25,53,9,27,29,32,7,14,14,11,8,1,25,0
2009,137,1156,84,13,1448,69,4,0,31,65,6,15,16,22,14,18,15,6,9,1,17,26,50,5,13,12,17,10,23,10,18,4,13,20,0
2004,138,1448,84,4,1264,80,12,0,29,57,8,20,18,24,8,29,15,10,5,2,18,29,63,7,20,15,20,8,24,15,8,5,3,23,1
2005,138,1452,111,7,1448,105,2,2,37,70,7,21,30,39,10,25,20,11,5,5,26,36,71,9,23,24,36,17,29,23,18,7,3,28,0
2004,136,1448,79,4,1433,78,13,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22,1
2010,136,1448,81,9,1400,80,8,1,30,70,6,18,15,24,20,39,15,20,2,4,24,26,69,8,24,20,33,10,24,11,5,11,4,20,1
