Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2007,136,1462,79,9,1140,77,8,0,24,56,8,17,23,29,13,24,12,10,3,4,19,29,67,9,19,10,13,15,21,10,10,2,2,23,1
2017,143,1462,73,11,1112,71,2,0,28,53,6,16,11,16,7,20,14,8,3,1,14,27,62,7,27,10,11,14,21,14,8,4,1,18,1
2009,139,1462,60,4,1458,49,12,0,18,46,6,14,18,26,7,30,12,14,4,5,20,16,56,3,20,14,17,7,23,5,7,5,2,23,1
2011,137,1266,66,11,1462,55,6,0,24,45,5,12,13,19,5,21,13,15,6,2,18,21,51,2,13,11,15,11,19,11,15,3,2,19,0
2008,138,1462,85,3,1345,78,6,0,27,50,5,12,26,33,5,29,12,14,5,3,17,26,67,8,21,18,23,13,24,9,10,8,4,26,1
2004,144,1462,79,7,1400,71,3,0,23,58,8,25,25,35,16,23,13,7,6,3,20,26,62,7,16,12,17,14,21,12,8,1,6,25,1
2003,139,1268,77,6,1462,64,3,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16,0
2018,139,1199,75,9,1462,70,1,0,24,55,8,23,19,22,10,22,7,14,10,4,23,23,49,5,13,19,30,12,21,11,18,6,2,22,0
2017,145,1211,83,1,1462,59,11,0,29,61,12,24,13,25,11,30,15,10,7,6,19,22,62,2,16,13,22,13,28,6,11,4,3,22,0
2012,139,1462,70,10,1250,58,15,0,24,54,7,15,15,21,12,31,8,14,2,6,15,21,64,3,22,13,20,15,21,4,8,6,5,20,1
2023,144,1400,83,2,1462,71,3,0,32,61,7,12,12,19,5,25,16,9,8,3,16,28,64,7,17,8,12,9,24,12,12,2,4,15,0
2023,139,1462,84,3,1338,73,11,0,30,63,8,24,16,26,4,32,22,8,6,4,21,27,70,6,20,13,20,10,29,11,8,2,5,18,1
2007,138,1326,78,1,1462,71,9,1,26,63,9,21,17,20,12,33,10,14,5,6,19,26,61,8,23,11,16,5,23,13,9,4,2,21,0
2014,134,1301,74,12,1462,59,12,0,29,53,4,14,12,16,6,23,16,9,4,9,14,23,55,2,14,11,16,11,20,7,13,3,0,17,0
2003,137,1462,71,3,1407,59,14,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19,1
2018,137,1462,102,1,1411,83,16,0,35,64,11,24,21,32,10,32,19,13,6,10,22,26,65,8,25,23,27,9,22,12,11,10,3,21,1
2015,143,1112,68,2,1462,60,6,0,22,54,7,22,17,19,10,23,10,8,9,1,14,22,51,3,17,13,16,8,23,9,12,7,3,16,0
2016,137,1462,71,2,1451,53,15,0,30,62,7,14,4,4,13,30,14,13,4,2,16,22,57,4,21,5,11,9,18,9,11,8,2,14,1
2016,139,1458,66,7,1462,63,2,0,25,59,8,27,8,13,7,31,12,12,3,6,21,22,54,5,16,14,21,5,31,10,8,8,1,17,0
2008,145,1417,76,1,1462,57,3,0,28,52,7,15,13,18,13,24,17,14,6,6,19,21,58,4,19,11,16,14,14,12,9,6,1,15,0
2023,137,1462,72,3,1244,67,14,0,24,52,2,12,22,30,3,31,16,10,6,4,17,27,64,5,19,8,13,8,25,12,11,5,1,21,1
2017,138,1462,91,11,1199,66,3,0,30,54,11,17,20,26,7,29,20,9,4,3,20,24,60,4,21,14,19,11,22,10,9,7,3,24,1
2009,143,1338,60,1,1462,55,4,0,22,65,4,15,12,19,18,26,9,9,9,3,13,21,64,5,23,8,10,17,27,9,10,4,7,17,0
2009,137,1462,77,4,1340,59,13,0,29,54,8,19,11,18,10,24,12,7,5,2,17,22,46,8,21,7,16,4,17,12,11,6,2,18,1
2017,136,1462,76,11,1268,65,6,0,25,50,9,23,17,24,9,25,15,15,8,2,17,22,54,7,27,14,19,7,17,13,11,7,3,19,1
2006,136,1211,79,3,1462,75,14,0,26,50,6,12,21,27,8,25,11,10,4,4,25,21,51,10,28,23,33,10,21,14,8,4,1,20,0
2015,136,1462,76,6,1279,57,11,0,26,56,10,23,14,21,8,30,17,10,6,4,14,24,73,6,27,3,5,16,22,16,8,7,4,21,1
2004,139,1462,89,7,1280,74,2,0,30,55,13,19,16,23,6,32,14,13,3,9,14,26,72,9,26,13,21,18,22,14,8,11,3,21,1
2012,137,1462,67,10,1323,63,7,0,22,44,5,10,18,27,10,20,11,10,6,1,14,25,49,9,21,4,9,6,15,19,11,6,1,16,1
2015,138,1462,75,6,1209,67,14,0,23,34,7,13,22,25,5,18,13,14,3,2,17,26,46,6,14,9,13,4,8,17,8,8,2,22,1
2004,146,1181,66,1,1462,63,7,0,21,54,8,20,16,20,10,29,15,11,6,7,23,22,63,3,15,16,23,16,24,8,10,5,0,21,0
2012,144,1124,75,3,1462,70,10,0,29,57,5,15,12,14,10,25,21,13,7,3,17,24,56,3,15,19,24,11,18,10,10,7,4,15,0
2008,143,1462,79,3,1452,75,7,1,28,59,11,19,12,21,15,26,16,12,3,5,25,28,66,1,11,18,27,17,21,16,8,5,6,21,1
2004,137,1462,80,7,1257,70,10,0,23,46,9,18,25,29,12,27,15,15,6,1,12,25,63,10,32,10,13,13,13,18,10,7,1,23,1
2010,137,1462,65,6,1278,54,11,0,23,67,7,20,12,19,20,30,15,6,6,3,16,19,62,7,26,9,14,16,25,14,8,2,11,18,1
2008,136,1462,73,3,1208,61,14,0,20,47,6,18,27,33,6,23,11,8,9,1,12,26,55,6,18,3,5,6,24,10,14,4,3,22,1
2010,143,1243,101,2,1462,96,6,2,37,78,8,19,19,29,16,24,19,12,5,11,25,31,72,12,28,22,29,19,32,12,16,8,4,28,0
2010,139,1462,71,6,1338,68,3,0,24,50,8,16,15,23,5,26,9,7,4,3,16,25,64,7,21,11,18,15,25,12,9,4,4,18,1
