Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2011,138,1361,71,2,1396,64,7,2,28,65,6,11,9,9,13,29,13,13,6,6,14,25,66,6,14,8,11,13,22,13,11,3,1,15,0
2011,136,1396,66,7,1336,64,10,0,24,49,5,18,13,15,8,20,10,10,6,5,13,26,54,8,19,4,6,8,18,12,9,4,0,13,1
2016,137,1234,72,7,1396,70,10,1,24,69,7,28,17,22,13,25,13,3,6,3,15,30,66,4,18,6,9,13,36,12,12,2,3,21,0
2009,137,1113,66,6,1396,57,11,0,20,39,8,14,18,24,3,24,12,11,4,1,14,19,51,6,17,13,17,9,20,13,9,5,4,16,0
2013,137,1396,76,9,1301,72,8,0,24,50,7,18,21,33,4,20,13,5,5,4,15,29,52,4,13,10,16,7,27,14,13,3,2,24,1
2010,137,1165,78,12,1396,65,5,0,27,48,9,23,15,19,10,20,10,11,7,2,12,27,52,5,17,6,9,7,13,14,11,3,4,20,0
2012,137,1378,58,12,1396,44,5,0,17,50,8,17,16,21,14,23,7,12,10,1,16,15,42,2,12,12,16,6,22,9,13,6,5,19,0
2013,139,1231,58,1,1396,52,9,0,19,45,4,13,16,20,4,28,9,12,0,2,8,21,62,3,24,7,8,14,21,8,10,5,4,18,0
2008,136,1277,72,5,1396,61,12,0,26,54,4,15,16,18,10,27,19,12,4,2,18,21,56,6,23,13,19,11,18,13,11,7,2,12,0
2019,134,1125,81,11,1396,70,11,0,28,53,9,23,16,21,3,30,15,11,6,4,12,28,71,7,22,7,13,15,24,13,11,7,1,22,0
