Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2013,136,1266,59,3,1172,58,14,0,20,58,4,15,15,19,17,24,5,9,5,4,20,19,46,6,17,14,22,7,22,12,11,2,4,17,0
2012,136,1257,69,4,1172,62,13,0,21,52,1,5,26,36,13,27,8,10,5,4,19,21,60,4,19,16,23,13,23,12,10,4,6,23,0
2008,146,1242,59,1,1172,57,10,0,23,52,5,14,8,14,10,28,12,14,5,5,16,22,57,8,27,5,12,9,21,17,9,7,2,15,0
2015,137,1234,83,7,1172,52,10,0,35,69,6,16,7,10,14,32,12,5,3,5,11,21,63,6,28,4,10,10,20,13,6,1,4,15,0
2022,137,1277,74,7,1172,73,10,0,28,59,7,26,11,15,9,24,13,7,4,4,14,28,59,10,25,7,12,6,23,14,7,3,3,18,0
2008,144,1172,73,10,1458,56,3,0,26,53,12,24,9,12,11,17,18,7,9,0,19,17,46,8,23,14,21,14,17,9,12,2,3,13,1
2008,137,1172,82,10,1211,76,7,0,28,57,11,22,15,21,10,19,18,14,9,1,18,28,55,12,27,8,14,11,23,14,19,11,1,19,1
2006,137,1326,70,2,1172,62,15,0,26,65,5,22,13,23,15,28,10,4,2,4,13,26,68,5,22,5,7,14,30,13,9,1,3,20,0
2007,136,1268,82,4,1172,70,13,0,31,68,6,17,14,19,19,35,19,22,8,4,15,24,70,10,37,12,14,13,22,17,17,13,2,17,0
2008,139,1172,74,10,1207,70,2,0,22,57,6,28,24,30,12,16,10,5,6,0,20,26,41,10,18,8,17,7,23,11,20,2,3,27,1
2018,136,1246,78,5,1172,73,12,0,26,51,0,6,26,32,6,30,11,10,6,3,19,24,61,11,33,14,17,8,20,12,9,2,2,22,0
