Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2022,138,1242,79,1,1166,72,9,0,27,66,6,16,19,20,13,33,14,7,5,7,21,21,59,12,28,18,21,6,22,18,8,6,3,16,0
2023,137,1166,72,6,1301,63,11,0,26,56,3,20,17,19,2,30,15,8,3,6,14,24,64,3,14,12,15,8,26,3,6,4,1,18,1
2014,139,1124,85,6,1166,55,3,0,30,47,11,18,14,21,5,27,19,8,2,3,11,22,55,5,24,6,9,8,14,11,8,4,0,19,0
2012,139,1314,87,1,1166,73,8,0,33,65,8,16,13,19,11,33,16,9,4,9,8,28,68,8,20,9,12,9,26,11,9,7,3,18,0
2023,144,1166,86,6,1343,75,15,0,32,55,9,24,13,16,5,31,18,12,2,4,11,30,65,9,21,6,10,4,20,13,5,3,0,17,1
2023,146,1361,57,5,1166,56,6,0,25,66,3,13,4,6,12,23,6,7,1,3,11,22,55,2,17,10,11,8,24,9,9,3,2,11,0
2014,137,1166,76,3,1418,66,14,0,28,54,9,23,11,21,6,30,18,6,0,3,17,25,66,4,16,12,17,13,23,8,4,3,5,18,1
2013,139,1181,66,2,1166,50,7,0,19,49,7,20,21,28,7,31,9,9,7,4,20,16,53,2,19,16,18,7,26,9,10,2,2,26,0
2021,138,1166,63,5,1364,62,12,0,26,58,7,25,4,7,7,21,18,8,4,3,14,22,57,5,21,13,17,10,26,15,7,2,3,16,1
2023,139,1166,85,6,1124,76,3,0,26,55,11,24,22,22,10,23,14,13,4,2,16,29,63,5,22,13,19,8,17,5,10,5,5,21,1
2012,137,1166,58,8,1104,57,9,0,22,50,9,21,5,13,7,24,14,7,4,3,11,22,48,7,17,6,12,6,26,9,9,5,4,18,1
2024,138,1166,86,3,1332,73,11,0,29,75,15,39,13,14,13,30,16,9,6,5,12,31,77,7,21,4,5,13,29,13,9,4,4,14,1
2013,137,1166,67,7,1153,63,10,0,19,42,7,15,22,25,7,25,16,16,2,2,11,27,64,5,20,4,9,14,17,12,9,9,4,21,1
2017,137,1348,84,11,1166,72,6,0,26,58,4,21,28,31,8,30,11,8,8,3,16,26,65,7,23,13,19,11,26,11,11,2,3,20,0
2018,137,1243,69,9,1166,59,8,0,23,50,9,19,14,25,7,28,12,11,6,5,11,23,68,9,34,4,5,17,28,12,13,6,3,21,0
2024,136,1166,77,3,1103,60,14,0,26,46,10,17,15,20,4,32,11,14,0,4,12,25,66,6,28,4,6,9,17,8,4,5,1,20,1
2021,146,1211,83,1,1166,65,5,0,34,57,9,24,6,10,6,28,23,16,5,2,12,28,69,5,23,4,8,8,17,11,10,9,0,12,0
2003,136,1141,79,11,1166,73,6,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,0
2022,136,1166,72,9,1361,69,8,1,25,56,2,14,20,24,11,28,14,20,9,0,17,27,64,5,19,10,17,11,19,14,15,7,6,20,1
2021,140,1166,72,5,1325,58,13,0,27,60,9,21,9,13,7,28,12,11,5,2,16,21,66,7,30,9,16,10,28,12,14,5,1,17,1
2005,136,1452,63,7,1166,61,10,0,22,46,8,20,11,13,8,21,19,16,12,4,15,21,50,8,20,11,13,10,17,12,17,8,3,16,0
2007,137,1305,77,7,1166,71,10,1,28,62,7,20,14,17,15,33,16,19,2,9,16,30,71,3,19,8,12,11,20,12,6,10,1,17,0
