Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2021,148,1211,85,1,1425,66,6,0,33,66,7,21,12,17,11,27,21,9,6,3,16,24,62,4,15,14,19,7,20,9,9,7,0,13,0
2009,139,1277,74,2,1425,69,10,0,22,51,6,13,24,31,12,24,20,16,5,1,18,23,57,1,10,22,26,12,18,10,11,10,5,21,0
2017,137,1425,66,11,1374,65,6,0,24,50,8,28,10,14,9,25,14,10,5,4,16,24,57,9,23,8,11,10,20,11,8,5,0,15,1
2023,137,1277,72,7,1425,62,10,0,26,54,5,14,15,25,8,26,11,7,7,3,10,24,58,7,20,7,8,8,27,15,11,2,2,18,0
2021,138,1425,72,6,1179,56,11,0,29,58,6,18,8,15,9,26,20,8,3,7,10,20,68,7,23,9,11,12,19,11,7,5,1,17,1
2009,137,1425,72,10,1130,55,7,0,27,51,4,9,14,19,11,24,19,13,7,6,18,18,55,6,23,13,14,13,17,13,15,5,3,21,1
2007,137,1425,77,5,1116,60,12,0,25,50,4,13,23,25,9,30,10,12,8,5,18,21,57,3,20,15,20,10,16,5,11,5,3,20,1
2008,136,1243,80,11,1425,67,6,0,29,60,7,16,15,26,21,23,15,13,7,1,21,21,50,6,12,19,27,9,18,12,11,6,4,24,0
2022,137,1274,68,10,1425,66,7,0,24,56,1,14,19,25,3,22,13,3,12,4,14,24,50,9,20,9,15,6,29,17,18,1,3,16,0
2021,146,1425,82,6,1332,68,7,0,31,54,10,17,10,12,8,20,15,13,5,4,11,26,69,5,21,11,12,16,13,15,11,7,3,14,1
2016,136,1344,70,9,1425,69,8,0,25,62,9,24,11,14,8,23,17,6,5,3,15,28,52,6,13,7,13,5,30,13,12,6,2,14,0
2021,140,1425,85,6,1242,51,3,0,32,56,11,18,10,17,6,32,18,13,3,4,14,18,62,6,25,9,12,8,18,12,7,8,2,17,1
2007,139,1425,87,5,1400,68,4,0,27,59,6,16,27,38,13,30,13,10,6,2,16,24,64,7,28,13,16,11,24,10,14,3,3,27,1
2017,135,1425,75,11,1344,71,11,0,24,57,7,19,20,27,16,20,12,7,4,4,13,25,51,9,20,12,17,7,20,17,9,3,2,21,1
2017,139,1124,82,3,1425,78,11,0,31,61,7,19,13,15,14,20,16,12,8,3,16,30,55,9,22,9,10,6,17,19,13,4,3,18,0
2007,144,1314,74,1,1425,64,5,0,30,77,2,14,12,17,20,26,11,9,6,4,14,26,61,5,18,7,9,10,29,13,18,5,7,19,0
2011,135,1433,59,11,1425,46,11,0,20,59,9,24,10,15,17,23,11,9,5,3,24,15,38,1,9,15,25,5,26,4,15,2,6,20,0
