Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2003,137,1231,67,7,1104,62,10,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21,0
2004,138,1104,70,8,1390,67,1,0,16,43,4,19,34,44,5,24,8,8,6,8,16,26,73,7,24,8,11,22,27,12,12,2,0,31,1
2006,138,1417,62,2,1104,59,10,0,24,47,9,25,5,13,7,14,17,11,5,4,20,19,39,2,11,19,25,10,20,10,15,7,3,15,0
2018,136,1104,86,9,1439,83,8,0,30,50,8,18,18,27,10,16,19,17,3,3,18,30,54,9,18,14,20,10,12,14,14,7,1,22,1
2018,138,1437,81,1,1104,58,9,0,25,63,17,41,14,16,13,22,18,10,6,5,21,20,48,4,16,14,23,9,24,13,15,7,3,13,0
2022,137,1323,78,11,1104,64,6,0,29,54,10,16,10,11,4,23,13,18,10,1,13,26,64,8,24,4,7,10,18,16,14,9,4,14,0
2021,146,1417,88,11,1104,78,2,1,29,74,10,29,20,25,12,26,12,7,8,7,21,30,69,7,28,11,25,11,30,9,14,6,5,23,0
2004,145,1163,87,2,1104,71,8,0,29,60,10,17,19,29,15,25,17,7,3,7,18,25,60,6,19,15,18,12,21,14,9,2,5,23,0
2023,136,1104,96,1,1394,75,16,0,33,70,15,33,15,23,14,32,21,8,4,8,18,26,75,7,20,16,18,11,23,8,6,4,3,18,1
2024,139,1104,72,4,1213,61,12,0,24,65,8,31,16,22,15,29,13,12,10,9,26,18,56,2,20,23,37,12,24,5,13,10,8,21,1
2024,137,1104,109,4,1158,96,13,0,36,60,13,23,24,37,4,24,17,10,5,2,22,32,78,10,33,22,29,14,23,16,10,8,3,22,1
2004,136,1104,65,8,1356,64,9,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14,1
2005,136,1454,83,12,1104,73,5,0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20,0
2006,136,1104,90,10,1266,85,7,0,28,55,12,23,22,31,16,16,15,14,4,3,17,32,61,7,22,14,19,13,15,13,12,9,4,22,1
2004,143,1104,80,8,1393,71,5,0,26,52,9,22,19,23,10,17,22,9,11,6,17,26,55,5,14,14,20,16,19,12,18,5,4,20,1
2023,144,1361,71,5,1104,64,1,0,26,69,6,17,13,22,13,29,10,11,9,8,18,23,71,3,27,15,20,18,32,10,14,5,5,22,0
2021,140,1104,96,2,1268,77,10,0,35,66,16,33,10,10,15,24,19,9,5,4,9,32,60,10,27,3,7,4,15,17,8,6,1,10,1
2024,152,1163,86,1,1104,72,4,0,31,62,10,25,14,18,10,25,20,4,4,8,17,26,58,11,23,9,11,7,21,9,7,2,5,15,0
2023,138,1104,73,1,1268,51,8,0,23,58,6,21,21,28,13,26,7,10,9,4,18,19,54,1,8,12,21,9,19,6,12,7,5,18,1
2021,138,1104,68,2,1233,55,15,0,25,53,5,16,13,23,10,27,10,14,10,3,17,23,59,5,23,4,5,5,20,8,15,7,8,19,1
2012,137,1166,58,8,1104,57,9,0,22,50,9,21,5,13,7,24,14,7,4,3,11,22,48,7,17,6,12,6,26,9,9,5,4,18,0
