Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2009,137,1458,61,12,1199,59,5,1,22,54,9,27,8,12,5,21,10,9,4,2,16,20,46,4,13,15,18,4,29,6,15,6,4,16,0
2019,138,1199,90,4,1293,62,12,0,36,71,11,27,7,9,15,30,21,12,11,6,16,20,61,7,18,15,21,13,20,7,13,8,2,8,1
2018,143,1199,75,9,1211,60,4,0,27,58,6,20,15,22,10,30,19,13,8,9,22,20,59,5,20,15,24,14,28,7,13,5,2,16,1
2010,137,1211,67,8,1199,60,9,0,21,42,3,10,22,30,6,32,11,15,5,5,19,21,59,6,20,12,20,11,21,15,8,7,4,22,0
2017,138,1462,91,11,1199,66,3,0,30,54,11,17,20,26,7,29,20,9,4,3,20,24,60,4,21,14,19,11,22,10,9,7,3,24,0
2018,139,1199,75,9,1462,70,1,0,24,55,8,23,19,22,10,22,7,14,10,4,23,23,49,5,13,19,30,12,21,11,18,6,2,22,1
2011,144,1433,72,11,1199,71,10,1,24,53,12,26,12,20,7,25,18,17,12,1,20,26,71,7,19,12,18,21,26,7,16,8,6,19,0
2021,146,1276,76,1,1199,58,4,0,29,59,3,11,15,23,9,25,19,7,4,3,10,24,60,5,20,5,6,7,21,10,14,6,5,22,0
2012,139,1153,62,6,1199,56,3,0,19,50,5,15,19,23,10,23,13,15,13,5,18,19,50,6,17,12,15,10,21,11,17,5,8,20,0
2011,137,1199,57,10,1401,50,7,0,20,43,4,15,13,20,6,29,14,13,6,10,17,16,51,9,25,9,19,12,21,12,11,6,1,19,1
2019,136,1199,76,4,1436,69,13,0,21,55,3,12,31,37,12,27,6,7,9,4,18,23,53,16,32,7,13,7,26,9,16,2,3,27,1
2021,140,1199,71,4,1160,53,5,0,24,46,6,17,17,21,5,19,16,13,10,3,15,20,56,6,25,7,11,15,14,12,18,5,2,22,1
2019,143,1211,72,1,1199,58,4,0,25,62,7,19,15,20,13,32,11,14,6,6,16,24,61,3,20,7,11,7,29,10,14,9,6,20,0
2018,145,1276,58,3,1199,54,9,0,19,49,4,22,16,24,9,25,8,11,6,4,16,16,51,4,17,18,20,10,26,6,15,6,7,23,0
2018,137,1199,67,9,1281,54,8,0,21,49,7,15,18,31,5,30,18,11,9,6,18,16,49,8,24,14,21,6,30,8,16,5,4,21,1
2021,138,1199,64,4,1422,54,13,0,25,48,0,9,14,20,5,30,15,13,3,6,15,19,60,7,27,9,13,7,19,14,8,7,1,18,1
2011,139,1199,71,10,1323,57,2,0,22,48,9,19,18,25,9,31,15,12,2,9,18,19,62,7,30,12,19,15,23,12,8,4,5,25,1
2012,137,1199,66,3,1382,63,14,0,24,53,7,19,11,14,9,22,13,11,9,9,14,23,57,7,14,10,13,14,23,16,13,9,3,16,1
2017,136,1199,86,3,1195,80,14,0,30,54,2,13,24,39,9,37,16,16,9,9,19,29,70,8,28,14,20,7,19,18,11,6,1,23,1
