Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2019,138,1277,70,2,1278,50,10,0,28,49,6,15,8,11,11,34,16,22,4,3,18,18,59,2,22,12,14,7,12,7,6,10,1,13,1
2010,137,1277,70,5,1308,67,12,0,20,53,7,19,23,33,14,26,16,9,5,4,22,23,57,8,21,13,22,15,25,8,11,7,3,23,1
2003,144,1277,60,7,1268,58,6,0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15,1
2019,144,1277,80,2,1261,63,3,0,31,66,13,32,5,8,15,26,22,7,4,6,10,24,61,6,21,9,14,14,20,8,9,4,0,10,1
2011,136,1417,78,7,1277,76,10,0,22,48,4,11,30,47,13,26,13,16,7,8,20,25,62,10,25,16,21,15,21,20,16,9,8,28,0
2019,146,1277,68,2,1181,67,1,0,30,70,6,19,2,6,11,20,18,7,11,3,11,26,57,7,21,8,13,13,29,14,17,4,9,9,1
2015,146,1277,76,7,1257,70,4,1,26,60,9,23,15,20,10,31,20,12,5,7,22,23,64,4,11,20,29,15,26,10,9,6,6,16,1
2014,138,1277,80,4,1217,73,12,0,28,57,7,21,17,22,10,24,17,11,9,1,20,22,53,6,17,23,30,8,24,8,11,4,3,17,1
2008,138,1277,65,5,1338,54,4,0,25,52,6,10,9,9,10,27,12,15,1,3,17,17,52,2,17,18,19,9,17,4,9,8,9,16,1
2009,139,1277,74,2,1425,69,10,0,22,51,6,13,24,31,12,24,20,16,5,1,18,23,57,1,10,22,26,12,18,10,11,10,5,21,1
2024,136,1277,69,9,1280,51,8,0,27,54,10,23,5,6,11,23,14,13,7,3,15,20,54,6,27,5,10,10,14,13,14,9,2,11,1
2016,137,1292,90,15,1277,81,2,0,33,59,11,19,13,21,10,18,16,10,6,5,13,30,54,11,24,10,15,8,22,20,14,6,2,22,0
2017,139,1242,90,1,1277,70,9,0,34,64,8,20,14,15,8,28,12,7,9,3,16,25,57,8,23,12,17,5,23,13,10,3,1,14,0
2008,136,1277,72,5,1396,61,12,0,26,54,4,15,16,18,10,27,19,12,4,2,18,21,56,6,23,13,19,11,18,13,11,7,2,12,1
2009,152,1277,82,2,1163,73,1,0,31,72,6,19,14,20,18,24,18,11,11,3,25,25,59,2,6,21,33,16,26,8,16,5,7,18,1
2007,136,1277,61,9,1266,49,8,0,22,41,4,10,13,15,4,24,17,15,6,3,18,15,47,10,29,9,15,12,17,7,15,6,4,19,1
2023,137,1277,72,7,1425,62,10,0,26,54,5,14,15,25,8,26,11,7,7,3,10,24,58,7,20,7,8,8,27,15,11,2,2,18,1
2007,138,1314,81,1,1277,67,9,0,25,52,6,16,25,34,14,26,12,10,6,3,17,22,59,8,20,15,17,11,18,15,10,5,0,27,0
2023,139,1277,69,7,1266,60,2,0,24,54,2,16,19,23,10,26,8,10,9,3,19,20,52,11,27,9,14,7,22,11,16,3,0,18,1
2014,146,1163,60,7,1277,54,4,0,17,49,5,22,21,22,7,23,8,8,7,3,12,18,46,11,29,7,8,6,26,13,16,5,3,16,0
2009,146,1277,64,2,1257,52,1,0,24,52,8,16,8,11,13,24,19,12,7,1,22,18,47,6,16,10,18,11,18,12,12,7,5,15,1
2017,137,1277,78,9,1274,58,8,0,30,53,6,20,12,14,10,26,18,12,1,3,18,21,52,4,16,12,17,9,14,8,10,9,1,17,1
2013,136,1277,65,3,1434,54,14,0,26,58,6,15,7,11,20,29,16,17,6,3,16,19,54,7,25,9,14,8,15,10,7,12,5,12,1
2018,139,1393,55,11,1277,53,3,0,15,42,1,8,24,31,7,23,3,12,5,6,20,17,66,8,37,11,16,29,22,11,14,4,2,22,0
2022,137,1277,74,7,1172,73,10,0,28,59,7,26,11,15,9,24,13,7,4,4,14,28,59,10,25,7,12,6,23,14,7,3,3,18,1
2012,143,1257,57,4,1277,44,1,0,21,55,9,23,6,11,11,28,15,10,9,7,11,14,49,5,21,11,12,8,28,12,15,8,7,15,0
2010,152,1139,52,5,1277,50,5,0,15,49,5,21,17,24,11,21,5,8,12,2,17,18,42,4,11,10,18,8,28,11,16,3,4,21,0
2005,139,1277,72,5,1436,61,13,0,27,56,2,12,16,22,12,27,12,9,4,4,16,22,70,7,22,10,14,23,18,5,9,4,0,19,1
2021,136,1417,86,11,1277,80,11,1,31,67,9,18,15,20,11,18,13,8,2,3,15,29,61,6,18,16,18,10,21,16,11,2,6,19,0
2023,143,1243,98,3,1277,93,7,1,38,68,11,24,11,16,6,21,26,5,10,3,24,31,63,13,25,18,22,9,20,18,13,2,6,16,0
2005,146,1277,94,5,1246,88,2,2,30,64,10,19,24,30,17,23,15,13,6,3,20,31,69,9,19,17,23,16,21,14,11,7,3,25,1
2009,144,1277,67,2,1242,62,3,0,23,59,5,15,16,17,13,18,17,13,13,2,16,24,53,3,12,11,13,13,24,11,19,7,4,17,1
2014,144,1277,61,4,1438,59,1,0,21,47,5,14,14,18,7,25,13,10,5,4,16,20,57,6,18,13,17,14,21,10,6,5,4,16,1
2006,137,1206,75,11,1277,65,6,0,29,49,5,12,12,26,10,30,7,14,4,6,10,26,60,10,26,3,5,6,18,17,10,2,2,23,0
2009,137,1277,77,2,1352,62,15,0,28,61,4,13,17,23,17,32,15,10,6,4,15,25,61,5,17,7,13,8,20,16,6,8,7,17,1
2010,139,1277,85,5,1268,83,4,0,32,58,10,18,11,14,13,29,18,19,3,5,19,29,66,9,19,16,20,10,14,20,6,8,0,14,1
2003,139,1277,68,7,1196,46,2,0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20,1
2005,144,1277,78,5,1181,68,1,0,27,65,5,14,19,23,16,22,12,16,13,0,22,22,51,7,23,17,24,9,24,8,22,11,2,22,1
2010,146,1277,70,5,1397,69,6,0,24,52,6,18,16,21,13,14,12,11,8,8,20,24,47,7,16,14,21,10,17,11,10,6,3,15,1
2005,152,1314,87,1,1277,71,5,0,35,71,6,20,11,17,13,38,18,13,5,6,17,25,74,7,23,14,18,15,27,15,12,10,4,19,0
2014,136,1277,93,4,1174,78,13,0,30,56,10,19,23,25,10,32,16,14,4,2,27,20,55,8,20,30,39,7,17,7,8,4,1,19,1
2005,137,1277,89,5,1330,81,12,0,29,51,3,14,28,36,5,25,11,13,9,1,22,26,61,7,20,22,26,10,20,13,15,9,1,29,1
2004,136,1305,72,10,1277,66,7,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25,0
2019,152,1403,61,3,1277,51,2,0,22,51,9,23,8,13,3,27,8,7,4,4,18,15,47,7,24,14,18,8,28,6,11,1,2,15,0
2013,144,1181,71,2,1277,61,3,0,20,49,7,18,24,26,5,24,8,8,3,5,17,20,50,3,12,18,24,8,25,6,11,6,4,24,0
2015,144,1277,62,7,1328,58,3,0,22,57,9,27,9,16,15,21,9,5,1,1,16,20,55,4,17,14,16,14,24,7,7,2,4,16,1
2008,144,1272,92,1,1277,74,5,0,31,59,4,13,26,35,17,22,13,9,9,7,16,29,59,5,18,11,17,11,17,18,12,2,3,28,0
2018,137,1277,82,3,1137,78,14,0,31,58,5,17,15,22,11,29,21,10,4,6,22,23,55,11,20,21,28,7,21,13,8,3,1,23,1
2010,144,1277,59,5,1320,52,9,0,19,44,7,19,14,19,6,26,15,10,8,3,19,17,44,4,16,14,21,4,22,4,10,6,3,13,1
2024,138,1314,85,1,1277,69,9,0,28,60,10,26,19,23,5,24,12,5,5,6,14,26,59,6,16,11,15,6,25,6,11,3,1,20,0
2003,137,1277,79,7,1160,64,10,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19,1
2015,137,1277,70,7,1208,63,10,0,26,57,7,18,11,19,5,30,18,9,8,3,22,19,57,4,14,21,26,12,31,8,12,4,2,19,1
2015,139,1277,60,7,1438,54,2,0,17,40,6,12,20,33,7,25,7,6,4,7,19,17,57,2,17,18,26,18,21,6,5,2,3,18,1
2003,146,1400,85,1,1277,76,7,0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28,0
2013,138,1277,70,3,1272,48,6,0,26,52,4,16,14,22,14,35,14,18,10,7,14,19,64,5,23,5,10,11,18,8,11,7,5,18,1
2019,136,1277,76,2,1133,65,15,0,23,54,5,19,25,26,8,28,9,9,3,5,18,22,52,9,21,12,18,3,23,12,10,3,3,22,1
2012,139,1277,65,1,1387,61,9,0,25,46,4,10,11,17,5,27,12,11,2,1,19,18,51,7,25,18,23,8,20,9,6,5,1,16,1
2022,139,1181,85,2,1277,76,7,0,32,56,5,13,16,21,7,21,14,10,5,6,12,27,65,11,22,11,12,12,19,15,7,3,5,19,0
2015,152,1181,81,1,1277,61,7,0,26,50,2,10,27,37,7,29,10,8,9,4,18,22,55,7,20,10,16,9,24,10,14,4,3,28,0
2012,137,1277,89,1,1254,67,16,0,40,68,3,9,6,9,15,28,21,12,6,0,17,22,50,8,17,15,23,4,16,10,12,6,4,10,1
2009,154,1314,89,1,1277,72,2,0,28,61,5,12,28,40,11,24,13,7,9,0,22,22,55,7,23,21,29,13,29,13,21,1,5,28,0
