Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2012,136,1435,79,5,1217,70,12,0,25,46,8,18,21,30,10,25,13,16,8,5,18,25,56,9,24,11,14,8,17,14,10,4,0,21,1
2008,137,1373,83,13,1435,62,4,0,26,46,9,20,22,25,5,24,16,17,10,0,11,25,61,4,20,8,12,14,17,12,16,9,0,19,0
2012,138,1458,60,4,1435,57,5,0,23,55,10,33,4,8,10,20,13,8,4,1,16,20,46,5,19,12,16,9,26,8,12,4,3,17,0
2007,138,1435,78,6,1450,74,3,2,27,63,10,27,14,18,11,28,13,17,12,2,17,27,60,7,19,13,17,9,27,16,19,10,4,16,1
2011,136,1350,69,12,1435,66,5,0,26,56,12,24,5,12,10,17,14,3,4,9,18,23,46,6,13,14,23,11,25,12,7,1,2,14,0
2010,136,1293,66,13,1435,65,4,0,25,60,7,15,9,17,15,24,13,11,4,4,21,22,50,4,12,17,29,10,23,15,10,4,4,17,0
2004,139,1435,75,6,1301,73,3,0,23,49,10,25,19,21,10,17,15,8,4,2,13,27,57,13,31,6,8,13,18,13,6,1,1,20,1
2007,144,1207,66,2,1435,65,6,0,25,56,8,19,8,14,16,24,14,11,3,3,18,21,51,9,27,14,20,8,18,17,5,5,4,16,0
2004,143,1163,73,2,1435,53,6,0,27,51,6,17,13,15,11,33,14,18,6,4,10,20,57,8,24,5,8,6,15,11,11,8,0,14,0
2016,134,1455,70,11,1435,50,11,0,22,59,7,19,19,25,9,34,12,7,5,2,22,16,53,3,19,15,26,9,29,9,12,1,5,23,0
2007,136,1435,77,6,1203,44,11,0,26,61,12,31,13,16,15,26,22,11,6,3,22,13,48,3,14,15,25,14,22,6,20,3,5,16,1
2017,136,1321,68,8,1435,66,9,0,26,53,6,14,10,18,8,29,10,12,7,0,18,21,55,9,26,15,18,7,23,9,10,7,6,16,0
2004,137,1435,71,6,1444,58,11,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19,1
