Season,DayNum,WTeamID,WScore,WTeamSeed,LTeamID,LScore,LTeamSeed,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Score
2010,139,1181,68,1,1143,53,8,0,27,57,3,17,11,17,11,23,11,5,4,5,15,19,48,3,12,12,16,9,24,6,11,3,1,18,0
2012,135,1378,65,12,1143,54,12,0,28,49,5,15,4,8,5,27,15,11,3,4,14,21,58,3,14,9,14,12,19,10,7,1,2,14,0
2010,137,1143,77,8,1257,62,9,0,26,51,8,15,17,22,7,21,17,14,8,3,14,26,60,5,19,5,9,15,22,13,15,9,1,19,1
2013,136,1143,64,12,1424,61,5,0,26,59,5,11,7,16,8,33,18,11,7,5,19,19,59,6,20,17,26,12,30,11,12,3,6,20,1
2003,136,1143,76,8,1301,74,9,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,1
2006,137,1301,58,10,1143,52,7,0,21,42,5,16,11,17,7,18,10,11,5,1,15,20,47,5,16,7,10,9,17,9,13,7,1,18,0
2009,136,1268,84,10,1143,71,7,0,31,63,6,16,16,24,16,20,18,9,5,1,17,25,59,7,24,14,19,14,21,12,14,2,2,22,0
2003,138,1328,74,1,1143,65,8,0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23,0
2016,137,1218,77,13,1143,66,4,0,27,52,3,14,20,25,2,27,8,11,3,3,25,23,56,3,19,17,26,12,26,6,16,3,1,24,0
2013,138,1393,66,4,1143,60,12,0,18,46,4,10,26,41,14,23,7,15,10,3,16,22,56,4,21,12,19,13,21,14,17,6,2,24,0
